epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2785.61,1.96519,9.72527,1.66268,0.52469,0.35797,0.37295,0.16553,1.87157,2.60942,1.72726,0.0033324,0.0033324,0.0033324
2,4999.95,1.82045,2.83276,1.54804,0.41525,0.29632,0.25634,0.08206,2.17821,2.8307,1.91005,0.00659974,0.00659974,0.00659974
3,7184.34,1.90891,3.10891,1.63997,0.6075,0.3093,0.36622,0.15815,1.80596,2.71258,1.73516,0.00980108,0.00980108,0.00980108
4,9398.65,1.85723,2.99529,1.61991,0.74332,0.4672,0.55773,0.22991,1.78224,2.21192,1.72006,0.009703,0.009703,0.009703
5,11584.8,1.76073,2.5987,1.54724,0.76405,0.5428,0.63801,0.35262,1.48338,1.84696,1.52842,0.009604,0.009604,0.009604
6,13800.1,1.65083,2.35275,1.4775,0.77368,0.58435,0.67934,0.37752,1.41516,1.76081,1.46215,0.009505,0.009505,0.009505
7,16001.9,1.60518,2.22198,1.45091,0.81272,0.59769,0.69446,0.39201,1.43295,1.65108,1.47465,0.009406,0.009406,0.009406
8,18219.2,1.5572,2.09769,1.42536,0.83534,0.60535,0.71694,0.4094,1.4044,1.59227,1.44372,0.009307,0.009307,0.009307
9,20407.7,1.53653,2.02661,1.41003,0.84072,0.6442,0.73522,0.39048,1.59219,1.51971,1.5403,0.009208,0.009208,0.009208
10,22646.6,1.51733,1.93323,1.39629,0.86188,0.64924,0.75119,0.43168,1.41105,1.47198,1.44421,0.009109,0.009109,0.009109
11,24932.8,1.50831,1.85777,1.40259,0.87342,0.66655,0.75884,0.43131,1.43207,1.43215,1.45097,0.00901,0.00901,0.00901
12,27114.8,1.47683,1.7874,1.37367,0.8806,0.66469,0.77173,0.43371,1.45554,1.38712,1.46181,0.008911,0.008911,0.008911
13,29697.1,1.46932,1.7447,1.36674,0.88302,0.68027,0.77758,0.4552,1.37472,1.38119,1.42155,0.008812,0.008812,0.008812
14,31910.2,1.4651,1.74262,1.37354,0.87866,0.69286,0.78208,0.45849,1.36988,1.34918,1.41621,0.008713,0.008713,0.008713
15,34414.5,1.44808,1.71025,1.36195,0.89043,0.69134,0.78381,0.46918,1.32431,1.31894,1.39328,0.008614,0.008614,0.008614
16,36621.3,1.45285,1.65938,1.3626,0.8885,0.69466,0.78769,0.47451,1.3143,1.30176,1.38805,0.008515,0.008515,0.008515
17,38963.2,1.44249,1.63173,1.36425,0.88799,0.69899,0.79013,0.4777,1.30617,1.29353,1.38562,0.008416,0.008416,0.008416
18,41140.9,1.42689,1.599,1.35264,0.88886,0.70151,0.79237,0.48063,1.30144,1.28279,1.3831,0.008317,0.008317,0.008317
19,43319.5,1.42013,1.63325,1.34243,0.89237,0.70236,0.79397,0.48145,1.30106,1.276,1.382,0.008218,0.008218,0.008218
20,45610.9,1.40822,1.56581,1.33648,0.89549,0.70764,0.7967,0.48186,1.2984,1.26508,1.38122,0.008119,0.008119,0.008119
21,47814,1.40981,1.57652,1.33412,0.8937,0.70944,0.79601,0.4838,1.2964,1.26028,1.38048,0.00802,0.00802,0.00802
22,50000.4,1.40914,1.52082,1.33269,0.89867,0.70872,0.79787,0.48518,1.29435,1.25544,1.3804,0.007921,0.007921,0.007921
23,52142.8,1.40342,1.53195,1.33711,0.89965,0.708,0.79931,0.48686,1.29352,1.25039,1.37992,0.007822,0.007822,0.007822
24,54343.1,1.38984,1.54476,1.32498,0.90416,0.7062,0.80066,0.48795,1.29235,1.24662,1.3795,0.007723,0.007723,0.007723
25,56541.6,1.39029,1.53898,1.32843,0.90993,0.7029,0.80103,0.48835,1.2905,1.23858,1.37901,0.007624,0.007624,0.007624
26,58720.4,1.37602,1.4834,1.31549,0.90798,0.70429,0.80148,0.48923,1.2894,1.23056,1.37876,0.007525,0.007525,0.007525
27,2069.75,1.39366,1.52287,1.32457,0.91035,0.70476,0.80268,0.4884,1.29123,1.22382,1.37922,0.007426,0.007426,0.007426
28,4129.53,1.38361,1.5097,1.31766,0.90659,0.70672,0.80348,0.49017,1.28973,1.21889,1.37747,0.007327,0.007327,0.007327
29,6262.43,1.38094,1.49567,1.32093,0.90716,0.71155,0.80466,0.49163,1.28941,1.21462,1.37681,0.007228,0.007228,0.007228
30,8319.23,1.37322,1.46743,1.31621,0.90079,0.71341,0.80581,0.49248,1.28846,1.2128,1.37624,0.007129,0.007129,0.007129
31,10433.6,1.3803,1.48334,1.31586,0.90028,0.71927,0.80771,0.49297,1.28983,1.20728,1.37638,0.00703,0.00703,0.00703
